id,index,station_name,type
182,42805,Uluberia,SURFACE
183,42603,Berhampore,SURFACE
184,42711,Krishnagar,SURFACE
185,42809,Dum Dum,SURFACE
186,42803,Midnapore,SURFACE
187,42900,Contai,SURFACE
188,42901,Digha,SURFACE
189,42807,Alipore,SURFACE
190,42812,Canning (P.E.T.),SURFACE
191,42811,Diamond Harbour,SURFACE
192,42181,Palam,SURFACE
193,43311,Aminidivi,SURFACE
194,43266,Agatti (A),SURFACE
195,43369,Minicoy,SURFACE
196,42727,Aizwal,SURFACE
197,43346,Karaikal,SURFACE
198,43331,Puducherry,SURFACE
199,43196,Mormugao,SURFACE
200,43192,Panjim,SURFACE
201,42634,Bhuj,SURFACE
202,43025,Adilabad,SURFACE
203,42522,HALFLONG,SURFACE
204,43189,Kakinada,SURFACE
205,43147,Tuni,SURFACE
206,43220,Bapatla,SURFACE
207,43177,Rentachintala,SURFACE
208,43161,Bijapur,SURFACE
209,43201,Gadag,SURFACE
210,43121,Gulbarga,SURFACE
211,43169,Raichur,SURFACE
212,43352,Alappuzha,SURFACE
213,43336,AMS CIAL Kochi,SURFACE
214,43315,Kannur,SURFACE
215,43354,Punalur,SURFACE
216,43355,Kottayam,SURFACE
217,43314,Kozhikode,SURFACE
218,43320,AMS Kozhikode,SURFACE
219,43335,Palakkad,SURFACE
220,42299,Gangtok,SURFACE
221,42379,Gorakhpur,SURFACE
222,42271,Hardoi,SURFACE
223,42369,Lucknow,SURFACE
224,42483,Varanasi,SURFACE
225,42262,Aligarh,SURFACE
226,42189,Bareilly,SURFACE
227,43187,Narsapur,SURFACE
228,43058,Alibag,SURFACE
229,42403,Cooch Behar,SURFACE
230,43260,Chickmagalur,SURFACE
231,42147,Mukteshwar,SURFACE
232,43367,Carnicobar,SURFACE
233,43309,Mayabunder,SURFACE
234,43333,Port Blair,SURFACE
235,42220,Pasighat,SURFACE
236,42391,Darbhanga,SURFACE
237,42383,Motihari,SURFACE
238,42591,Gaya,SURFACE
239,42273,Bahraich,SURFACE
240,42867,Nagpur AP,SURFACE
241,42939,Wardha,SURFACE
242,42935,Washim,SURFACE
243,42943,Yeotmal,SURFACE
244,43001,Dahanu,SURFACE
245,43009,Ahmednagar,SURFACE
246,42851,Jalgaon,SURFACE
247,43157,Kolhapur,SURFACE
248,42925,Malegaon,SURFACE
249,42921,Nashik,SURFACE
250,43063,Pune,SURFACE
251,43158,Sangli,SURFACE
252,43111,Mahabaleshwar,SURFACE
253,43113,Satara,SURFACE
254,43071,Jeur,SURFACE
255,43117,Solapur,SURFACE
256,43382,Nancowry,SURFACE
257,43310,Long Island,SURFACE
258,42914,DIU,SURFACE
259,43149,VISAKHAPATNAM ,SURFACE
260,42473,Banda,SURFACE
261,43105,Calingapatnam,SURFACE
262,42482,Ghazipur,SURFACE
263,42837,Mahuva,SURFACE
264,42131,Hissar,SURFACE
265,42348,Jaipur,SURFACE
266,42452,Kota,SURFACE
267,43229,Shirali,SURFACE
268,43110,Ratnagiri,SURFACE
269,43193,Vengurla,SURFACE
270,42469,Hamirpur,SURFACE
271,42468,Orai,SURFACE
272,42463,Jhansi,SURFACE
273,42139,Meerut,SURFACE
274,42187,Moradabad,SURFACE
275,42143,Najibabad,SURFACE
276,42295,Darjeeling,SURFACE
277,42296,Kalimpong,SURFACE
278,42731,Dwarka,SURFACE
279,42459,Shivpuri,SURFACE
280,42562,Tikamgarh,SURFACE
281,42662,Ujjain,SURFACE
282,42715,Malanjkhand,SURFACE
283,42675,Jabalpur,SURFACE
284,42776,Mandla,SURFACE
285,42871,Gondia,SURFACE
286,42409,Tangla,SURFACE
287,42395,Forbesganj,SURFACE
288,42499,Sabour,SURFACE
289,42498,Bhagalpur,SURFACE
290,42838,Bhavnagar (A),SURFACE
291,42771,Seoni,SURFACE
292,42456,Sheopur,SURFACE
293,43279,Meenambakkam,SURFACE
294,42705,Purulia,SURFACE
295,43275,Tirupati Airport,SURFACE
296,43213,Kurnool,SURFACE
297,42619,Silchar,SURFACE
298,42413,Mazbat,SURFACE
299,42404,Dhubri,SURFACE
300,42266,Shahjahanpur,SURFACE
301,42667,Bairagarh,SURFACE
302,42567,Khajuraho,SURFACE
303,43233,Chitradurga,SURFACE
304,43017,Parbhani,SURFACE
305,42623,Imphal,SURFACE
306,43042,Bhawanipatna,SURFACE
307,42891,Keonjhar,SURFACE
308,42971,Bhubaneswar,SURFACE
309,43053,Puri,SURFACE
310,42701,Ranchi,SURFACE
311,43097,Koraput,SURFACE
312,42894,Baripada,SURFACE
313,42883,Sambalpur,SURFACE
314,42792,Sundergarh,SURFACE
315,42961,Titlagarh,SURFACE
316,42071,Amritsar,SURFACE
317,43245,Nellore,SURFACE
